101536,658230,0,0,A  
117772,810088,0,0,A  
108113,682548,0,0,A  
132422,627069,0,0,A  
176343,541517,0,0,A  
153973,522503,0,0,A  
193823,752790,0,0,A  
193059,457269,0,0,A  
253477,572213,0,0,A  
174844,626251,0,0,A  
148105,490749,0,0,A  
158049,539210,0,0,A  
127584,606124,0,0,A  
158291,728508,0,0,A  
122024,550990,0,0,A  
110349,565015,0,0,A  
241597,544776,0,0,A  
174840,776077,0,0,A  
162817,519263,0,0,A  
166243,453309,0,0,A  
160255,426742,0,0,A  
154852,421567,0,0,A  
163628,760782,0,0,A  
184916,496890,0,0,A  
158566,788172,0,0,A  
170339,482823,0,0,A  
232351,731070,0,0,A  
187818,708821,0,0,A  
194995,840047,0,0,A  
125822,997147,0,0,A  
181340,688691,0,0,A  
193113,559799,0,0,A  
214124,996417,0,0,A  
224789,979030,0,0,A  
175083,957193,0,0,A  
143256,432241,0,0,A  
133252,495241,0,0,A  
104766,330379,0,0,A  
150915,523086,0,0,A    
362232,128198,127359,104455,B  
693518,138428,125418,90772,B  
394009,142036,121999,89516,B  
485808,166925,116446,126024,B  
528409,225698,204858,174401,B  
623312,178494,188807,174064,B  
558749,164426,172954,168611,B  
493084,188766,177451,188922,B  
443324,178467,194053,142943,B  
338567,200888,149721,163878,B  
373133,183308,172545,185168,B  
308123,155128,152067,131253,B  
384316,148969,144627,147744,B  
423356,141951,137922,170406,B  
411432,125318,133902,108235,B  
452572,145644,148359,149498,B  
444432,138826,159473,159727,B  
474384,155948,153799,141734,B  
646605,150316,147502,171700,B  
446168,161207,149402,173526,B  
494917,316299,337734,193995,B  
428444,384760,277824,246900,B  
300359,171037,131094,130592,B  
683638,177454,152519,151742,B  
578887,166343,136317,127825,B  
505658,237195,224397,186536,B  
513615,186135,189558,154806,B  
386812,154101,124858,125780,B  
505516,137954,131427,106285,B  
745324,155819,145711,118611,B  
469527,144264,144513,126120,B  
683707,132493,114376,110747,B  
602300,126357,123677,116268,B  
519620,187919,160236,245844,B  
1081601,201676,194380,192903,B  
959262,176545,170072,196090,B  
513046,157131,154016,138545,B  
451464,147945,104344,103531,B  
458070,144698,98306,95050,B  
386265,149215,126380,102186,B  
484914,173671,110169,100109,B   
358121,142844,459678,124999,C  
461875,137489,486959,133721,C  
393823,126497,544618,119991,C  
421095,153137,519825,127177,C  
433319,171039,415463,166384,C  
460608,178370,590672,143919,C  
411117,277826,455940,177877,C  
560922,182799,496908,144471,C  
617336,212000,567645,191039,C  
439565,158588,483865,176527,C  
429657,162995,408685,197690,C  
365997,194724,449182,197391,C  
297972,193338,390092,199854,C  
289795,167322,395055,163011,C  
299699,165798,425030,185027,C  
317070,198938,411645,134818,C  
477431,150361,612500,129356,C  
447872,138585,549335,133193,C  
431814,142644,446746,122249,C  
449591,134859,454750,122802,C  
439847,149633,471924,164689,C  
346273,137841,465390,148548,C  
384745,190064,545417,208932,C  
521824,207452,544746,202357,C  
515313,208858,548745,189581,C  
453915,191074,497085,196484,C  
485822,362810,528979,223196,C  
432962,238219,548286,267073,C  
541529,533826,448721,273140,C  
404475,207987,567609,229485,C  
427645,182590,607588,163532,C  
551144,148807,610699,147754,C  
576285,162928,745829,142275,C  
416945,189384,544720,180336,C  
391438,177419,578023,165612,C  
429742,141679,352135,130376,C  
555310,143600,550004,111118,C  
587823,148848,533849,108458,C  
445950,144448,546661,130155,C  
591802,140774,553602,156174,C  
466970,150995,492540,117782,C  
520400,231290,606729,193410,C  
550229,187669,767283,218014,C  
1001602,178817,1113347,196032,C  
1073774,246908,231086,227675,C  
706017,202520,992810,220011,C  
398567,178786,421019,191064,C  
353701,123875,345033,97814,C  
364950,91165,365570,100131,C  
485161,126683,495307,136219,C   
508231,121015,114163,0,D  
547822,161481,129278,0,D  
621469,108132,121309,0,D  
445616,138529,100991,0,D  
418266,164277,127303,0,D  
577426,162461,175471,0,D  
507298,190019,152152,0,D  
525599,154651,163825,0,D  
421115,176091,176346,0,D  
418979,132593,145531,0,D  
448345,161962,160348,0,D  
342129,156755,170685,0,D  
423721,157915,156205,0,D  
364203,127360,140208,0,D  
396804,120681,173301,0,D  
609291,134083,141964,0,D  
452277,114691,104610,0,D  
443547,131062,143157,0,D  
424968,129890,125325,0,D  
487580,147773,184230,0,D  
572407,120351,147768,0,D  
407905,122676,158229,0,D  
541797,137635,148195,0,D  
644671,163224,146672,0,D  
510799,137809,136073,0,D  
654322,239835,207693,0,D  
507447,304920,227140,0,D  
576448,279419,181952,0,D  
487086,306229,182449,0,D  
389504,147182,114664,0,D  
468166,150887,121426,0,D  
552126,185688,147706,0,D  
441966,184919,159570,0,D  
503425,120012,110246,0,D  
531039,157463,102991,0,D  
447017,132720,117488,0,D  
508382,159907,122892,0,D  
607057,118762,84482,0,D  
561016,140334,120629,0,D  
542802,212653,196883,0,D  
968178,205111,228896,0,D  
1048207,162254,167615,0,D  
1105466,234502,213654,0,D  
769654,220744,229024,0,D  
573714,144926,151855,0,D  
314732,138370,116063,0,D  
433007,104341,74975,0,D  
635513,116727,97121,0,D  
121455,0,0,0,E  
135586,0,0,0,E  
102815,0,0,0,E  
172192,0,0,0,E  
170610,0,0,0,E  
202193,0,0,0,E  
223145,0,0,0,E  
154885,0,0,0,E  
160528,0,0,0,E  
118799,0,0,0,E  
120081,0,0,0,E  
131747,0,0,0,E  
118572,0,0,0,E  
106573,0,0,0,E  
105242,0,0,0,E  
101369,0,0,0,E  
104674,0,0,0,E  
98617,0,0,0,E  
169149,0,0,0,E  
191165,0,0,0,E  
170011,0,0,0,E  
163145,0,0,0,E  
189105,0,0,0,E  
194036,0,0,0,E  
235275,0,0,0,E  
179584,0,0,0,E  
204372,0,0,0,E  
207614,0,0,0,E  
107900,0,0,0,E  
127766,0,0,0,E  
160219,0,0,0,E  
161797,0,0,0,E  
151531,0,0,0,E  
214392,0,0,0,E  
158910,0,0,0,E  
171018,0,0,0,E  
161016,0,0,0,E  
229832,0,0,0,E  
437813,0,0,0,E  
174120,0,0,0,E  
232141,0,0,0,E  
219011,0,0,0,E  
283662,0,0,0,E  
259530,0,0,0,E  
203942,0,0,0,E  
127584,0,0,0,E  
106851,0,0,0,E  
169390,0,0,0,E  
149760,109220,347631,121181,F  
183559,116833,482535,138251,F  
103661,106877,350914,123261,F  
116663,121691,516547,130663,F  
219047,195928,537318,176803,F  
174300,182925,529502,171488,F  
166975,167230,564550,165133,F  
200794,151875,374920,159933,F  
161035,152661,518526,158715,F  
419445,264265,397642,215721,F  
134644,136320,373614,161172,F  
109522,149303,410850,175241,F  
95774,118637,422459,172574,F  
96625,134263,485329,121353,F  
115029,108931,614273,121494,F  
110490,99442,443035,112764,F  
130507,121309,521874,144214,F  
119786,118622,511698,113103,F  
146353,138651,540682,161689,F  
160366,163943,637720,190178,F  
157434,166552,547535,222440,F  
118828,156534,515568,200336,F  
127857,159738,595792,147637,F  
191042,201368,432132,198485,F  
193790,169972,431768,198847,F  
134525,151599,600647,234377,F  
194254,219763,472221,276818,F  
124186,113292,530047,136545,F  
116154,107436,548032,141226,F  
149531,130634,750944,118982,F  
152086,151962,535187,139162,F  
146343,143599,617837,155820,F  
165848,124162,552376,122084,F  
158962,130750,572062,115977,F  
165760,115384,571324,113377,F  
204496,123979,642294,127207,F  
144354,134021,550511,157408,F  
167241,118531,508887,91746,F  
200384,172230,619271,115198,F  
255004,195718,949201,185226,F  
229217,182345,917028,190574,F  
228345,199046,727020,225265,F  
310479,213554,1061060,370699,F  
170229,151244,478060,176559,F  
177052,123387,352198,140475,F  
128009,101808,323930,91934,F  
165014,125066,557136,185468,F  
514369,388070,130595,0,G  
459335,494496,150250,0,G  
536202,404691,113264,0,G  
507659,417137,131709,0,G  
429402,451912,141298,0,G  
618793,585703,179401,0,G  
605561,681495,207848,0,G  
515120,471925,194064,0,G  
596205,508838,159394,0,G  
496077,483011,171300,0,G  
339137,390933,150621,0,G  
189337,364347,131394,0,G  
346605,301232,215392,0,G  
305716,315024,189784,0,G  
353342,401109,172887,0,G  
299777,329278,143087,0,G  
474535,610877,114819,0,G  
488503,551447,133130,0,G  
428960,555525,119794,0,G  
384722,374812,105851,0,G  
550717,621863,158452,0,G  
557297,606928,149629,0,G  
272192,381676,206764,0,G  
460505,507559,136707,0,G  
555699,570859,180922,0,G  
484136,344227,229062,0,G  
385542,490135,202442,0,G  
580723,597074,322428,0,G  
898986,666121,234781,0,G  
486820,385540,230844,0,G  
319406,280776,115492,0,G  
390730,443531,100434,0,G  
558444,588148,148811,0,G  
453184,516547,182960,0,G  
442990,477736,190949,0,G  
466998,541248,84904,0,G  
457828,520818,76479,0,G  
734260,656317,107536,0,G  
570770,619330,98205,0,G  
542059,566878,90662,0,G  
640823,590716,124017,0,G  
423976,497533,124268,0,G  
427288,538213,155493,0,G  
312337,471088,90732,0,G  
323551,389910,123500,0,G  
400919,410013,132249,0,G    
140847,125828,119966,97648,H  
87229,127937,98064,95912,H  
165344,120761,123022,101811,H  
133476,136915,102972,102353,H  
199344,202555,197943,158039,H  
203972,133193,167024,156463,H  
211795,174746,169132,179298,H  
192235,152974,165727,152904,H  
148033,129710,112638,115673,H  
101047,94222,85301,78779,H  
113601,134492,133886,126634,H  
162731,157126,149405,146238,H  
124674,129284,117547,127687,H  
115706,110411,104821,125481,H  
110819,133703,138045,136923,H  
96207,119652,114955,100398,H  
101065,123710,119794,106620,H  
118508,129077,125799,113281,H  
125139,114106,114086,113738,H  
149301,143318,117801,149973,H  
193718,166484,150846,169772,H  
121590,154185,143921,140466,H  
165170,169099,158108,153884,H  
133293,130788,153037,153319,H  
171078,162866,156041,151561,H  
204099,196730,163877,152374,H  
238986,212067,197501,161505,H  
315947,270449,211122,159732,H  
211881,182725,138807,94868,H  
146153,130847,117142,113155,H  
151892,153126,114807,111292,H  
143953,109555,141427,117027,H  
186833,182690,158840,139541,H  
156890,127481,150432,100442,H  
117937,112792,130734,117679,H  
138402,103057,103590,96437,H  
155567,111506,85705,90121,H  
147913,118021,90650,95336,H  
145554,141276,129787,120304,H  
175806,146643,129223,117500,H  
245897,175254,168381,135906,H  
180149,191704,192452,177766,H  
226983,199185,231881,229088,H  
204692,198530,218299,190352,H  
153744,170407,157485,136510,H  
105499,79582,76265,56806,H  
141179,104250,83328,116441,H  
